Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Pyrazinamide,PO,15–30 mg/kg PO q24h,q24h,—,—,20–40 mg/kg q24h (max 2 g),Same,Adjust in renal failure (TIW dosing possible),Avoid severe hepatic disease,,,,,,"=IF(ISBLANK($O133), """", $O133*1.0)","=IF(ISBLANK($O133), """", $O133*1.5)","=IF(ISBLANK($O133), """", $O133*2.0)","=IF(ISBLANK($O133), """", 4*MIN(10,$O133) + 2*MAX(0,MIN(10,$O133-10)) + 1*MAX(0,$O133-20))","=IF(ISBLANK($O133), """", $O133*30)"
Ethambutol,PO,15–25 mg/kg PO q24h,q24h,—,—,15–25 mg/kg q24h,Same,Adjust if CrCl reduced,No adjustment,,,,,,"=IF(ISBLANK($O134), """", $O134*1.0)","=IF(ISBLANK($O134), """", $O134*1.5)","=IF(ISBLANK($O134), """", $O134*2.0)","=IF(ISBLANK($O134), """", 4*MIN(10,$O134) + 2*MAX(0,MIN(10,$O134-10)) + 1*MAX(0,$O134-20))","=IF(ISBLANK($O134), """", $O134*30)"
Thiamine,"IV, PO",100 mg IV/PO q24h (Wernicke: 200–500 mg IV TID),q24h (or TID),—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O135), """", $O135*1.0)","=IF(ISBLANK($O135), """", $O135*1.5)","=IF(ISBLANK($O135), """", $O135*2.0)","=IF(ISBLANK($O135), """", 4*MIN(10,$O135) + 2*MAX(0,MIN(10,$O135-10)) + 1*MAX(0,$O135-20))","=IF(ISBLANK($O135), """", $O135*30)"
Folic acid,PO,1 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O136), """", $O136*1.0)","=IF(ISBLANK($O136), """", $O136*1.5)","=IF(ISBLANK($O136), """", $O136*2.0)","=IF(ISBLANK($O136), """", 4*MIN(10,$O136) + 2*MAX(0,MIN(10,$O136-10)) + 1*MAX(0,$O136-20))","=IF(ISBLANK($O136), """", $O136*30)"
Cyanocobalamin,"IM, PO","1,000 mcg IM monthly (daily ×1wk for deficiency)",Monthly/daily (loading),—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O137), """", $O137*1.0)","=IF(ISBLANK($O137), """", $O137*1.5)","=IF(ISBLANK($O137), """", $O137*2.0)","=IF(ISBLANK($O137), """", 4*MIN(10,$O137) + 2*MAX(0,MIN(10,$O137-10)) + 1*MAX(0,$O137-20))","=IF(ISBLANK($O137), """", $O137*30)"
Ferrous sulfate,PO,325 mg PO q24–48h (elemental Fe 65 mg),q24–48h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O138), """", $O138*1.0)","=IF(ISBLANK($O138), """", $O138*1.5)","=IF(ISBLANK($O138), """", $O138*2.0)","=IF(ISBLANK($O138), """", 4*MIN(10,$O138) + 2*MAX(0,MIN(10,$O138-10)) + 1*MAX(0,$O138-20))","=IF(ISBLANK($O138), """", $O138*30)"
Naloxone,"IV, IN, IM",0.04–2 mg IV/IN/IM; repeat PRN; infusion 0.4–4 mg/h,PRN / infusion,—,—,0.1 mg/kg IV/IM/IN (max 2 mg); repeat PRN,Same; infusion 0.002–0.16 mg/kg/h if needed,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O139), """", $O139*1.0)","=IF(ISBLANK($O139), """", $O139*1.5)","=IF(ISBLANK($O139), """", $O139*2.0)","=IF(ISBLANK($O139), """", 4*MIN(10,$O139) + 2*MAX(0,MIN(10,$O139-10)) + 1*MAX(0,$O139-20))","=IF(ISBLANK($O139), """", $O139*30)"
Flumazenil,IV,0.2 mg IV over 15 sec; repeat to 1 mg,PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O140), """", $O140*1.0)","=IF(ISBLANK($O140), """", $O140*1.5)","=IF(ISBLANK($O140), """", $O140*2.0)","=IF(ISBLANK($O140), """", 4*MIN(10,$O140) + 2*MAX(0,MIN(10,$O140-10)) + 1*MAX(0,$O140-20))","=IF(ISBLANK($O140), """", $O140*30)"
Chlorhexidine oral rinse,PO (rinse),15 mL swish q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O141), """", $O141*1.0)","=IF(ISBLANK($O141), """", $O141*1.5)","=IF(ISBLANK($O141), """", $O141*2.0)","=IF(ISBLANK($O141), """", 4*MIN(10,$O141) + 2*MAX(0,MIN(10,$O141-10)) + 1*MAX(0,$O141-20))","=IF(ISBLANK($O141), """", $O141*30)"
Heparin (SC prophylaxis),SC,"5,000 units SC q8–12h",q8–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O142), """", $O142*1.0)","=IF(ISBLANK($O142), """", $O142*1.5)","=IF(ISBLANK($O142), """", $O142*2.0)","=IF(ISBLANK($O142), """", 4*MIN(10,$O142) + 2*MAX(0,MIN(10,$O142-10)) + 1*MAX(0,$O142-20))","=IF(ISBLANK($O142), """", $O142*30)"
Sodium zirconium cyclosilicate,PO,10 g PO TID ×48h then daily,TID then daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O143), """", $O143*1.0)","=IF(ISBLANK($O143), """", $O143*1.5)","=IF(ISBLANK($O143), """", $O143*2.0)","=IF(ISBLANK($O143), """", 4*MIN(10,$O143) + 2*MAX(0,MIN(10,$O143-10)) + 1*MAX(0,$O143-20))","=IF(ISBLANK($O143), """", $O143*30)"
Patiromer,PO,8.4–25.2 g PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O144), """", $O144*1.0)","=IF(ISBLANK($O144), """", $O144*1.5)","=IF(ISBLANK($O144), """", $O144*2.0)","=IF(ISBLANK($O144), """", 4*MIN(10,$O144) + 2*MAX(0,MIN(10,$O144-10)) + 1*MAX(0,$O144-20))","=IF(ISBLANK($O144), """", $O144*30)"
Aluminum/magnesium/simethicone,PO,15–30 mL PO q6h PRN,q6h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O145), """", $O145*1.0)","=IF(ISBLANK($O145), """", $O145*1.5)","=IF(ISBLANK($O145), """", $O145*2.0)","=IF(ISBLANK($O145), """", 4*MIN(10,$O145) + 2*MAX(0,MIN(10,$O145-10)) + 1*MAX(0,$O145-20))","=IF(ISBLANK($O145), """", $O145*30)"
Bisacodyl,"PO, PR",5–10 mg PO daily or 10 mg PR daily,Daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O146), """", $O146*1.0)","=IF(ISBLANK($O146), """", $O146*1.5)","=IF(ISBLANK($O146), """", $O146*2.0)","=IF(ISBLANK($O146), """", 4*MIN(10,$O146) + 2*MAX(0,MIN(10,$O146-10)) + 1*MAX(0,$O146-20))","=IF(ISBLANK($O146), """", $O146*30)"
Polyethylene glycol,PO,17 g PO q24h (up to BID),q24h,—,—,0.4–1 g/kg/day (max 17 g/day typical),Adolescent up to 17 g/day,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O147), """", $O147*1.0)","=IF(ISBLANK($O147), """", $O147*1.5)","=IF(ISBLANK($O147), """", $O147*2.0)","=IF(ISBLANK($O147), """", 4*MIN(10,$O147) + 2*MAX(0,MIN(10,$O147-10)) + 1*MAX(0,$O147-20))","=IF(ISBLANK($O147), """", $O147*30)"
Senna,PO,8.6–17.2 mg PO qHS (up to BID),HS/BID,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O148), """", $O148*1.0)","=IF(ISBLANK($O148), """", $O148*1.5)","=IF(ISBLANK($O148), """", $O148*2.0)","=IF(ISBLANK($O148), """", 4*MIN(10,$O148) + 2*MAX(0,MIN(10,$O148-10)) + 1*MAX(0,$O148-20))","=IF(ISBLANK($O148), """", $O148*30)"
Docusate,PO,100 mg PO BID,BID,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O149), """", $O149*1.0)","=IF(ISBLANK($O149), """", $O149*1.5)","=IF(ISBLANK($O149), """", $O149*2.0)","=IF(ISBLANK($O149), """", 4*MIN(10,$O149) + 2*MAX(0,MIN(10,$O149-10)) + 1*MAX(0,$O149-20))","=IF(ISBLANK($O149), """", $O149*30)"
Cholecalciferol (Vitamin D3),PO,"1,000–4,000 units PO q24h (repletion protocols vary)",q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O150), """", $O150*1.0)","=IF(ISBLANK($O150), """", $O150*1.5)","=IF(ISBLANK($O150), """", $O150*2.0)","=IF(ISBLANK($O150), """", 4*MIN(10,$O150) + 2*MAX(0,MIN(10,$O150-10)) + 1*MAX(0,$O150-20))","=IF(ISBLANK($O150), """", $O150*30)"
Calcitriol,PO,0.25–0.5 mcg PO q24–48h,q24–48h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O151), """", $O151*1.0)","=IF(ISBLANK($O151), """", $O151*1.5)","=IF(ISBLANK($O151), """", $O151*2.0)","=IF(ISBLANK($O151), """", 4*MIN(10,$O151) + 2*MAX(0,MIN(10,$O151-10)) + 1*MAX(0,$O151-20))","=IF(ISBLANK($O151), """", $O151*30)"
Sevelamer carbonate,PO,"800–1,600 mg PO TID with meals",TID with meals,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O152), """", $O152*1.0)","=IF(ISBLANK($O152), """", $O152*1.5)","=IF(ISBLANK($O152), """", $O152*2.0)","=IF(ISBLANK($O152), """", 4*MIN(10,$O152) + 2*MAX(0,MIN(10,$O152-10)) + 1*MAX(0,$O152-20))","=IF(ISBLANK($O152), """", $O152*30)"
Sodium polystyrene sulfonate,"PO, PR",15–60 g PO/PR q6h PRN (use with caution),q6h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O153), """", $O153*1.0)","=IF(ISBLANK($O153), """", $O153*1.5)","=IF(ISBLANK($O153), """", $O153*2.0)","=IF(ISBLANK($O153), """", 4*MIN(10,$O153) + 2*MAX(0,MIN(10,$O153-10)) + 1*MAX(0,$O153-20))","=IF(ISBLANK($O153), """", $O153*30)"
Ticagrelor,PO,90 mg PO q12h (load 180 mg),q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O154), """", $O154*1.0)","=IF(ISBLANK($O154), """", $O154*1.5)","=IF(ISBLANK($O154), """", $O154*2.0)","=IF(ISBLANK($O154), """", 4*MIN(10,$O154) + 2*MAX(0,MIN(10,$O154-10)) + 1*MAX(0,$O154-20))","=IF(ISBLANK($O154), """", $O154*30)"
Prasugrel,PO,10 mg PO q24h (load 60 mg),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O155), """", $O155*1.0)","=IF(ISBLANK($O155), """", $O155*1.5)","=IF(ISBLANK($O155), """", $O155*2.0)","=IF(ISBLANK($O155), """", 4*MIN(10,$O155) + 2*MAX(0,MIN(10,$O155-10)) + 1*MAX(0,$O155-20))","=IF(ISBLANK($O155), """", $O155*30)"
Atorvastatin,PO,10–80 mg PO q24h (HS),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O156), """", $O156*1.0)","=IF(ISBLANK($O156), """", $O156*1.5)","=IF(ISBLANK($O156), """", $O156*2.0)","=IF(ISBLANK($O156), """", 4*MIN(10,$O156) + 2*MAX(0,MIN(10,$O156-10)) + 1*MAX(0,$O156-20))","=IF(ISBLANK($O156), """", $O156*30)"
Rosuvastatin,PO,5–40 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O157), """", $O157*1.0)","=IF(ISBLANK($O157), """", $O157*1.5)","=IF(ISBLANK($O157), """", $O157*2.0)","=IF(ISBLANK($O157), """", 4*MIN(10,$O157) + 2*MAX(0,MIN(10,$O157-10)) + 1*MAX(0,$O157-20))","=IF(ISBLANK($O157), """", $O157*30)"
Ezetimibe,PO,10 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O158), """", $O158*1.0)","=IF(ISBLANK($O158), """", $O158*1.5)","=IF(ISBLANK($O158), """", $O158*2.0)","=IF(ISBLANK($O158), """", 4*MIN(10,$O158) + 2*MAX(0,MIN(10,$O158-10)) + 1*MAX(0,$O158-20))","=IF(ISBLANK($O158), """", $O158*30)"
Acetylcysteine (IV),IV,150 mg/kg load then 50 mg/kg over 4 h then 100 mg/kg over 16 h,Protocol,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O159), """", $O159*1.0)","=IF(ISBLANK($O159), """", $O159*1.5)","=IF(ISBLANK($O159), """", $O159*2.0)","=IF(ISBLANK($O159), """", 4*MIN(10,$O159) + 2*MAX(0,MIN(10,$O159-10)) + 1*MAX(0,$O159-20))","=IF(ISBLANK($O159), """", $O159*30)"
Terbutaline,SC,0.25 mg SC q20 min ×3 PRN bronchospasm,PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O160), """", $O160*1.0)","=IF(ISBLANK($O160), """", $O160*1.5)","=IF(ISBLANK($O160), """", $O160*2.0)","=IF(ISBLANK($O160), """", 4*MIN(10,$O160) + 2*MAX(0,MIN(10,$O160-10)) + 1*MAX(0,$O160-20))","=IF(ISBLANK($O160), """", $O160*30)"
Ipratropium‑albuterol (Duoneb),INH,3 mL neb q6h,q6h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O161), """", $O161*1.0)","=IF(ISBLANK($O161), """", $O161*1.5)","=IF(ISBLANK($O161), """", $O161*2.0)","=IF(ISBLANK($O161), """", 4*MIN(10,$O161) + 2*MAX(0,MIN(10,$O161-10)) + 1*MAX(0,$O161-20))","=IF(ISBLANK($O161), """", $O161*30)"
Guaifenesin,PO,200–400 mg PO q4h PRN (ER 600–1200 mg q12h),q4–12h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O162), """", $O162*1.0)","=IF(ISBLANK($O162), """", $O162*1.5)","=IF(ISBLANK($O162), """", $O162*2.0)","=IF(ISBLANK($O162), """", 4*MIN(10,$O162) + 2*MAX(0,MIN(10,$O162-10)) + 1*MAX(0,$O162-20))","=IF(ISBLANK($O162), """", $O162*30)"
Oxygen via nasal cannula,INH,1–6 L/min (titrate to SpO2 target),Continuous/PRN,0.1–2 L/min (blend FiO2 per NICU),0.25–2 L/min,1–4 L/min,1–6 L/min,,,—,—,—,—,,"=IF(ISBLANK($O163), """", $O163*1.0)","=IF(ISBLANK($O163), """", $O163*1.5)","=IF(ISBLANK($O163), """", $O163*2.0)","=IF(ISBLANK($O163), """", 4*MIN(10,$O163) + 2*MAX(0,MIN(10,$O163-10)) + 1*MAX(0,$O163-20))","=IF(ISBLANK($O163), """", $O163*30)"
Oxygen via simple face mask,INH,6–10 L/min,Continuous,,,,,,,—,—,—,—,,"=IF(ISBLANK($O164), """", $O164*1.0)","=IF(ISBLANK($O164), """", $O164*1.5)","=IF(ISBLANK($O164), """", $O164*2.0)","=IF(ISBLANK($O164), """", 4*MIN(10,$O164) + 2*MAX(0,MIN(10,$O164-10)) + 1*MAX(0,$O164-20))","=IF(ISBLANK($O164), """", $O164*30)"
High-flow nasal cannula (HFNC),INH,30–60 L/min; FiO2 0.21–1.0,Continuous (RT protocol),,,,,,,—,—,—,—,,"=IF(ISBLANK($O165), """", $O165*1.0)","=IF(ISBLANK($O165), """", $O165*1.5)","=IF(ISBLANK($O165), """", $O165*2.0)","=IF(ISBLANK($O165), """", 4*MIN(10,$O165) + 2*MAX(0,MIN(10,$O165-10)) + 1*MAX(0,$O165-20))","=IF(ISBLANK($O165), """", $O165*30)"
Incentive spirometry,Device,10 breaths q1–2h while awake,q1–2h while awake,,,,,,,—,—,—,—,,"=IF(ISBLANK($O166), """", $O166*1.0)","=IF(ISBLANK($O166), """", $O166*1.5)","=IF(ISBLANK($O166), """", $O166*2.0)","=IF(ISBLANK($O166), """", 4*MIN(10,$O166) + 2*MAX(0,MIN(10,$O166-10)) + 1*MAX(0,$O166-20))","=IF(ISBLANK($O166), """", $O166*30)"
Chest physiotherapy (RT),Procedure,"Per RT eval (e.g., q6–8h)",q6–8h,,,,,,,—,—,—,—,,"=IF(ISBLANK($O167), """", $O167*1.0)","=IF(ISBLANK($O167), """", $O167*1.5)","=IF(ISBLANK($O167), """", $O167*2.0)","=IF(ISBLANK($O167), """", 4*MIN(10,$O167) + 2*MAX(0,MIN(10,$O167-10)) + 1*MAX(0,$O167-20))","=IF(ISBLANK($O167), """", $O167*30)"
Hypertonic saline 3% (neb),INH,4 mL neb q6–8h PRN,q6–8h PRN,,2–4 mL neb q6–8h PRN (institutional),4 mL neb q6–8h PRN,4 mL neb q6–8h PRN,,,—,—,—,—,,"=IF(ISBLANK($O168), """", $O168*1.0)","=IF(ISBLANK($O168), """", $O168*1.5)","=IF(ISBLANK($O168), """", $O168*2.0)","=IF(ISBLANK($O168), """", 4*MIN(10,$O168) + 2*MAX(0,MIN(10,$O168-10)) + 1*MAX(0,$O168-20))","=IF(ISBLANK($O168), """", $O168*30)"
Racemic epinephrine (neb),INH,0.5 mL of 2.25% in 3 mL NS neb q20min PRN,PRN,,0.5 mL of 2.25% in 3 mL NS neb; observe rebound,Same,Same,,,—,—,—,—,,"=IF(ISBLANK($O169), """", $O169*1.0)","=IF(ISBLANK($O169), """", $O169*1.5)","=IF(ISBLANK($O169), """", $O169*2.0)","=IF(ISBLANK($O169), """", 4*MIN(10,$O169) + 2*MAX(0,MIN(10,$O169-10)) + 1*MAX(0,$O169-20))","=IF(ISBLANK($O169), """", $O169*30)"
Albuterol HFA (inhaler),INH,2 puffs q4–6h PRN (spacer),q4–6h PRN,,1–2 puffs q4–6h PRN (spacer),2 puffs q4–6h PRN (spacer),2 puffs q4–6h PRN,,,—,—,—,—,,"=IF(ISBLANK($O170), """", $O170*1.0)","=IF(ISBLANK($O170), """", $O170*1.5)","=IF(ISBLANK($O170), """", $O170*2.0)","=IF(ISBLANK($O170), """", 4*MIN(10,$O170) + 2*MAX(0,MIN(10,$O170-10)) + 1*MAX(0,$O170-20))","=IF(ISBLANK($O170), """", $O170*30)"
Ipratropium HFA (inhaler),INH,2 puffs q6h,q6h,,,,,,,—,—,—,—,,"=IF(ISBLANK($O171), """", $O171*1.0)","=IF(ISBLANK($O171), """", $O171*1.5)","=IF(ISBLANK($O171), """", $O171*2.0)","=IF(ISBLANK($O171), """", 4*MIN(10,$O171) + 2*MAX(0,MIN(10,$O171-10)) + 1*MAX(0,$O171-20))","=IF(ISBLANK($O171), """", $O171*30)"
Budesonide-formoterol (inhaler),INH,160/4.5 mcg: 2 puffs q12h (SMART varies),q12h (or SMART),,,80/4.5: 2 puffs q12h (formulary dependent),160/4.5: 2 puffs q12h,,,—,—,—,—,,"=IF(ISBLANK($O172), """", $O172*1.0)","=IF(ISBLANK($O172), """", $O172*1.5)","=IF(ISBLANK($O172), """", $O172*2.0)","=IF(ISBLANK($O172), """", 4*MIN(10,$O172) + 2*MAX(0,MIN(10,$O172-10)) + 1*MAX(0,$O172-20))","=IF(ISBLANK($O172), """", $O172*30)"
Fluticasone-salmeterol (inhaler),INH,1 puff q12h (strength per patient),q12h,,,,,,,—,—,—,—,,"=IF(ISBLANK($O173), """", $O173*1.0)","=IF(ISBLANK($O173), """", $O173*1.5)","=IF(ISBLANK($O173), """", $O173*2.0)","=IF(ISBLANK($O173), """", 4*MIN(10,$O173) + 2*MAX(0,MIN(10,$O173-10)) + 1*MAX(0,$O173-20))","=IF(ISBLANK($O173), """", $O173*30)"
Tiotropium (inhaler),INH,2 inhalations q24h (Respimat),q24h,,,,,,,—,—,—,—,,"=IF(ISBLANK($O174), """", $O174*1.0)","=IF(ISBLANK($O174), """", $O174*1.5)","=IF(ISBLANK($O174), """", $O174*2.0)","=IF(ISBLANK($O174), """", 4*MIN(10,$O174) + 2*MAX(0,MIN(10,$O174-10)) + 1*MAX(0,$O174-20))","=IF(ISBLANK($O174), """", $O174*30)"
Fluticasone (inhaled),INH,100–250 mcg BID (titrate),BID,,,44–110 mcg BID (device dependent),110–220 mcg BID,,,—,—,—,—,,"=IF(ISBLANK($O175), """", $O175*1.0)","=IF(ISBLANK($O175), """", $O175*1.5)","=IF(ISBLANK($O175), """", $O175*2.0)","=IF(ISBLANK($O175), """", 4*MIN(10,$O175) + 2*MAX(0,MIN(10,$O175-10)) + 1*MAX(0,$O175-20))","=IF(ISBLANK($O175), """", $O175*30)"
Umeclidinium-vilanterol (inhaler),INH,1 inhalation q24h,q24h,,,,,,,—,—,—,—,,"=IF(ISBLANK($O176), """", $O176*1.0)","=IF(ISBLANK($O176), """", $O176*1.5)","=IF(ISBLANK($O176), """", $O176*2.0)","=IF(ISBLANK($O176), """", 4*MIN(10,$O176) + 2*MAX(0,MIN(10,$O176-10)) + 1*MAX(0,$O176-20))","=IF(ISBLANK($O176), """", $O176*30)"
Saline nasal spray 0.65%,IN,2 sprays/nostril q4–6h PRN,q4–6h PRN,,,,,,,—,—,—,—,,"=IF(ISBLANK($O177), """", $O177*1.0)","=IF(ISBLANK($O177), """", $O177*1.5)","=IF(ISBLANK($O177), """", $O177*2.0)","=IF(ISBLANK($O177), """", 4*MIN(10,$O177) + 2*MAX(0,MIN(10,$O177-10)) + 1*MAX(0,$O177-20))","=IF(ISBLANK($O177), """", $O177*30)"
Ramelteon,PO,8 mg PO qHS,HS,,,,,,,—,—,—,—,,"=IF(ISBLANK($O178), """", $O178*1.0)","=IF(ISBLANK($O178), """", $O178*1.5)","=IF(ISBLANK($O178), """", $O178*2.0)","=IF(ISBLANK($O178), """", 4*MIN(10,$O178) + 2*MAX(0,MIN(10,$O178-10)) + 1*MAX(0,$O178-20))","=IF(ISBLANK($O178), """", $O178*30)"
Ampicillin,"IV, PO",1–2 g IV q4–6h; PO 500 mg q6h,q4–6h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O179), """", $O179*1.0)","=IF(ISBLANK($O179), """", $O179*1.5)","=IF(ISBLANK($O179), """", $O179*2.0)","=IF(ISBLANK($O179), """", 4*MIN(10,$O179) + 2*MAX(0,MIN(10,$O179-10)) + 1*MAX(0,$O179-20))","=IF(ISBLANK($O179), """", $O179*30)"
Penicillin G (aqueous),IV,2–4 million units IV q4h (indication-based),q4h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O180), """", $O180*1.0)","=IF(ISBLANK($O180), """", $O180*1.5)","=IF(ISBLANK($O180), """", $O180*2.0)","=IF(ISBLANK($O180), """", 4*MIN(10,$O180) + 2*MAX(0,MIN(10,$O180-10)) + 1*MAX(0,$O180-20))","=IF(ISBLANK($O180), """", $O180*30)"
Penicillin VK,PO,250–500 mg PO q6h,q6h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O181), """", $O181*1.0)","=IF(ISBLANK($O181), """", $O181*1.5)","=IF(ISBLANK($O181), """", $O181*2.0)","=IF(ISBLANK($O181), """", 4*MIN(10,$O181) + 2*MAX(0,MIN(10,$O181-10)) + 1*MAX(0,$O181-20))","=IF(ISBLANK($O181), """", $O181*30)"
